keyphrase,adjusted_scaled_mean_shap
male dunmer,0.042191062341418895
saitama anime,0.04208100972430138
drawing,0.04202229296332636
abandoned,0.041849290592106556
tracing artstation,0.04175894496642252
cat,0.04163657376584139
painting stalenhag,0.041412040885646616
uncanny painting,0.04122759730081831
sony,0.04110907455239916
flowers,0.040453466533713324
pablo picasso,0.04037479435779565
punk art,0.040277032866546075
world photography,0.04005743201081149
studio ghibli,0.04004885981567538
scene science,0.039677299736187666
gustav klimt,0.03921995314902314
art trending,0.038381977647089414
surrealism surreal,0.03819792703972387
detailed portrait,0.03792458070124341
robot,0.03729087776886788
goth emo,0.037236925000159224
donald,0.03717608210978369
space,0.03706144252001945
fiction,0.03658986624198656
movie poster,0.0365129815280337
dark uncanny,0.0362692533729889
garden intricate,0.03618810355831542
portrait painted,0.03585624804528286
surreal concept,0.035700961809880354
photograph divine,0.03565891576026545
lifelike photorealistic,0.03563885309923008
armor daedric,0.03559585565844898
length portrait,0.034828741468161256
statue,0.033838765956623176
illustration,0.03380741750253314
portrait extremely,0.03380251451956555
dragon,0.0337579818800685
anime colors,0.03355456389621736
rpg portrait,0.03323575354104972
vallejo frazetta,0.03314396657364325
flamingos,0.032992269529936016
frazetta giger,0.03295381551876195
painting ronny,0.03288303976111108
science fiction,0.03267365663993792
alien,0.03263972853996593
painting peter,0.03229474222216701
josan gonzalez,0.031611711094054314
clouds madeira,0.03142319099824941
octane render,0.031001325019843505
century,0.030772199848590826
portrait photograph,0.030649813040159107
faroe azores,0.030510310954291898
illustrated,0.0304282969861167
detective pikachu,0.030389475909253963
glamorous sophisticated,0.03024028345125619
colossal goddess,0.030193261427882926
intricate volumetric,0.029761173035082234
pikachu hannah,0.029645448352697775
body manga,0.029548084984656314
hd unreal,0.02927078227487006
dramatic lighting,0.029183262894960732
heavy detailed,0.029083152962435587
screenshot,0.02865253624947922
steampunk himalayan,0.02839576200764577
manga illustration,0.028344835224412016
art realistic,0.028176875350068027
puppy,0.028079537663340984
photorealistic digital,0.027920233935702976
wallpaper illustration,0.0274258639054608
stars,0.02722410160609653
hd goth,0.026898137747510844
camera,0.026892530753379388
pixar,0.026851257141378298
zdzislaw beksinski,0.02669120533108596
lightning intricate,0.02662581224190968
houses,0.026547400726943768
bjork,0.026421169872155738
goth,0.026170663341502632
surreal glimpse,0.02615583585188959
painting character,0.026116177607576205
details intricate,0.02603501446956854
overcast thunder,0.0259483484044166
saitama,0.025857810920708917
neuromancer,0.025624427507176955
wallpaper,0.025399726295075645
glimpse universe,0.02461573042156478
runway,0.024496813817920987
fluffy,0.024398576727436797
cinematic deviantart,0.02421991697989877
starmaker,0.024211252775454137
traits painting,0.02421059892078469
painting lush,0.024090967082724478
nerevarine,0.024015671664421347
dog,0.023975669822705475
azores,0.023895857367841507
hd,0.02388691641077593
portrait male,0.02366611942964629
josan,0.02358218538921144
low clouds,0.023518668857086877
colors,0.023497937246368734
film neuromancer,0.023391027468234564
volumetric lighting,0.02331834778169847
sony world,0.023194223474499995
wizard,0.0231789293568004
modern,0.02304983003773392
art punk,0.022864944416440755
lighting hd,0.022864095674708495
render hyperrealist,0.022631062047814846
entries sony,0.022272722975650274
atmospheric lighting,0.021189452404292142
himalayan,0.020974043779152986
emo,0.020962086717959492
artstation cinematic,0.020852865292208346
giant digital,0.02074271563694587
dunmer nerevarine,0.020603497760549594
pink bonsai,0.02006489177403766
portrait sabouts,0.019987549179175893
colossal,0.01996327084775814
contemporary art,0.01995118361293
futuristic,0.01983790512694769
art thorough,0.01970513273158808
collage canvas,0.019607200706889174
starmaker matte,0.01949931200874591
engine,0.019484584035724745
lantern candle,0.01947115851300141
landscape colourful,0.01935043514707662
digital render,0.0192797955746675
butterfly volumetric,0.018986299660559564
marble hourglass,0.018766618799463935
