keyphrase,adjusted_scaled_mean_shap
portrait sabouts,0.0050921740852050805
madeira faroe,0.005001312956425583
clouds covered,0.0049373063182869235
giant,0.004862013803307076
pink bonsai,0.0048044918327636845
painting lurid,0.004757814720108166
anime colors,0.004690189956600987
log houses,0.00463230305067606
goddess wearing,0.004609995713686574
painting unreal,0.004467526916218427
divine,0.004446281795507691
pink flamingos,0.004395788914376289
surreal glimpse,0.004350002798372282
flamingos,0.004314459567010855
artistic,0.004216082089559381
gundam unreal,0.004212438739256398
anime epic,0.004155348905248246
divine pink,0.00406090801185683
film neuromancer,0.003964305002564944
goths,0.003929454682708171
butterfly volumetric,0.003803301466974159
style contemporary,0.0037151563011845307
azores islands,0.0036561227457027018
castle enclosed,0.003579931005828938
churches domes,0.0035748551672241747
painting chris,0.0035701954570913847
vivec portrait,0.003520992267366559
minogue,0.003511578019807423
wooden churches,0.0035082980188166895
goddess creative,0.0034858853340748856
kylie minogue,0.003414659335639168
wearing cloud,0.0033938875926307656
candle butterfly,0.003393343736220644
colossal,0.0033413933317607077
kylie,0.0031507820560759854
science,0.0030494334134683024
hills slavic,0.0030382074909586537
media collage,0.002951062108463779
girl clouds,0.002931290412496727
starmaker matte,0.00287186445484542
mixed media,0.002586464097307823
android cyborg,0.0024402863367162532
looking camera,0.002309038738095741
body shot,0.0022128980294159922
bull looking,0.0021988660451649745
bull modeled,0.0021454661504533407
imposing cyborg,0.0020919945005046926
